instance Boomer-SAT-W2 Boomer-MaxSAT
instance375 0.007 0.011
instance376 0.006 0.007
instance377 0.003 0.006
instance378 0.003 0.014
instance379 0.01 0.006
instance380 0.005 0.012
instance381 0.007 0.011
instance382 0.005 0.014
instance383 0.007 0.006
instance384 0.012 0.011
instance385 0.009 0.01
instance386 0.016 0.018
instance387 0.009 0.01
instance388 0.003 0.008
instance389 0.006 0.008
instance390 0.004 0.006
instance391 0.008 0.007
instance392 0.008 0.013
instance393 0.005 0.006
instance394 0.007 0.016
instance395 0.003 0.008
instance396 0.008 0.005
instance397 0.005 0.01
instance398 0.009 0.017
instance399 0.011 0.014
instance400 0.005 0.006
instance401 0.007 0.017
instance402 0.006 0.016
instance403 0.004 0.012
instance404 0.002 0.006
instance405 0.005 0.018
instance406 0.003 0.008
instance407 0.008 0.007
instance408 0.007 0.006
instance409 0.006 0.014
instance410 0.005 0.011
instance411 0.003 0.007
instance412 0.006 0.013
instance413 0.015 0.012
instance414 0.01 0.021
instance415 0.005 0.006
instance416 0.003 0.009
instance417 0.004 0.014
instance418 0.003 0.008
instance419 0.003 0.006
instance420 0.009 0.016
instance421 0.004 0.01
instance422 0.008 0.014
instance423 0.004 0.008
instance424 0.007 0.013
instance425 0.007 0.014
instance426 0.005 0.01
instance427 0.003 0.009
instance428 0.006 0.012
instance429 0.002 0.007
instance430 0.011 0.018
instance431 0.012 0.025
instance432 0.015 0.014
instance433 0.004 0.011
instance434 0.005 0.007
instance435 0.004 0.023
instance436 0.008 0.005
instance437 0.009 0.011
instance438 0.005 0.005
instance439 0.007 0.011
instance440 0.003 0.01
instance441 0.009 0.01
instance442 0.004 0.01
instance443 0.004 0.005
instance444 0.003 0.006
instance445 0.015 0.012
instance446 0.008 0.017
instance447 0.008 0.005
instance448 0.018 0.016
instance449 0.015 0.015
instance450 0.007 0.012
instance451 0.006 0.019
instance452 0.003 0.014
instance453 0.006 0.006
instance454 0.006 0.014
instance455 0.003 0.008
instance456 0.003 0.005
instance457 0.005 0.018
instance458 0.002 0.012
instance459 0.002 0.01
instance460 0.006 0.007
instance461 0.01 0.014
instance462 0.004 0.006
instance463 0.003 0.01
instance464 0.005 0.01
instance465 0.002 0.011
instance466 0.004 0.005
instance467 0.011 0.009
instance468 0.003 0.012
instance469 0.004 0.024
instance470 0.004 0.011
instance471 0.008 0.013
instance472 0.007 0.006
instance473 0.005 0.012
instance474 0.005 0.01
instance475 0.009 0.022
instance476 0.01 0.014
instance477 0.01 0.012
instance478 0.005 0.006
instance479 0.013 0.021
instance480 0.004 0.02
instance481 0.006 0.015
instance482 0.012 0.007
instance483 0.005 0.013
instance484 0.004 0.02
instance485 0.007 0.01
instance486 0.003 0.006
instance487 0.011 0.019
instance488 0.008 0.008
instance489 0.014 0.006
instance490 0.007 0.007
instance491 0.002 0.004
instance492 0.002 0.015
instance493 0.006 0.008
instance494 0.006 0.025
instance495 0.012 0.018
instance496 0.009 0.014
instance497 0.006 0.011
instance498 0.007 0.027
instance499 0.005 0.013
instance500 0.003 0.008
instance501 0.011 0.012
instance502 0.011 0.008
instance503 0.005 0.016
instance504 0.003 0.018
instance505 0.001 0.002
instance506 0.001 0.002
instance507 0.001 0.001
instance508 0.001 0.001
instance509 0.001 0.001
instance510 0.001 0.002
instance511 0.001 0.002
instance512 0.001 0.002
instance513 0.001 0.002
instance514 0.001 0.002
instance515 0.001 0.001
instance516 0.001 0.002
instance517 0.001 0.001
instance518 0.001 0.002
instance519 0.001 0.001
instance520 0.001 0.002
instance521 0.001 0.002
instance522 0.001 0.002
instance523 0.001 0.001
instance524 0.001 0.002
instance525 0.001 0.001
instance526 0.001 0.002
instance527 0.001 0.003
instance528 0.001 0.001
instance529 0.001 0.001
instance530 0.001 0.001
instance531 0.001 0.001
instance532 0.001 0.001
instance533 0.001 0.004
instance534 0.001 0.002
instance535 0.001 0.001
instance536 0.001 0.002
